The President spent much of the week-end at his summer home on Cape Cod writing the first drafts of portions of the address with the help of White House aids in Washington with whom he talked by telephone .,1
"Shortly after the Chief Executive returned to Washington in midmorning from Hyannis Port , Mass. , a White House spokesman said the address text still had `` quite a way to go '' toward completion .",1
Decisions are made,1
"Asked to elaborate , Pierre Salinger , White House press secretary , replied , `` I would say it's got to go thru several more drafts '' .",1
"Salinger said the work President Kennedy , advisers , and members of his staff were doing on the address involved composition and wording , rather than last minute decisions on administration plans to meet the latest Berlin crisis precipitated by Russia's demands and proposals for the city .",1
"The last 10 cases in the investigation of the Nov. 8 election were dismissed yesterday by Acting Judge John M. Karns , who charged that the prosecution obtained evidence `` by unfair and fundamentally illegal means '' .",1
Karns said that the cases involved a matter `` of even greater significance than the guilt or innocence '' of the 50 persons .,1
He said evidence was obtained `` in violation of the legal rights of citizens '' .,1
Karns' ruling pertained to eight of the 10 cases .,1
In the two other cases he ruled that the state had been `` unable to make a case '' .,1
"Contempt proceedings originally had been brought against 677 persons in 133 precincts by Morris J. Wexler , special prosecutor .",1
"Wexler admitted in earlier court hearings that he issued grand jury subpenas to about 200 persons involved in the election investigation , questioned the individuals in the Criminal courts building , but did not take them before the grand jury .",1
"Mayer Goldberg , attorney for election judges in the 58th precinct of the 23d ward , argued this procedure constituted intimidation .",1
Wexler has denied repeatedly that coercion was used in questioning .,1
Karns said it was a `` wrongful act '' for Wexler to take statements `` privately and outside of the grand jury room '' .,1
He said this constituted a `` very serious misuse '' of the Criminal court processes .,1
"`` Actually , the abuse of the process may have constituted a contempt of the Criminal court of Cook county , altho vindication of the authority of that court is not the function of this court '' , said Karns , who is a City judge in East St. Louis sitting in Cook County court .",1
Faced seven cases,1
Karns had been scheduled this week to hear seven cases involving 35 persons .,1
"Wexler had charged the precinct judges in these cases with `` complementary '' miscount of the vote , in which votes would be taken from one candidate and given to another .",1
"The cases involved judges in the 33d , 24th , and 42d precincts of the 31st ward , the 21st and 28th precincts of the 29th ward , the 18th precinct of the 4th ward , and the 9th precinct of the 23d ward .",1
The case of the judges in the 58th precinct of the 23d ward had been heard previously and taken under advisement by Karns .,1
Two other cases also were under advisement .,1
Claims precedent lacking,1
"After reading his statement discharging the 23d ward case , Karns told Wexler that if the seven cases scheduled for trial also involved persons who had been subpenaed , he would dismiss them .",1
-- President Kennedy today proposed a mammoth new medical care program whereby social security taxes on 70 million American workers would be raised to pay the hospital and some other medical bills of 14.2 million Americans over 65 who are covered by social security or railroad retirement programs .,1
"The President , in a special message to Congress , tied in with his aged care plan requests for large federal grants to finance medical and dental scholarships , build 20 new medical and 20 new dental schools , and expand child health care and general medical research .",1
"The aged care plan , similar to one the President sponsored last year as a senator , a fight on Capitol hill .",1
It was defeated in Congress last year .,1
Cost up to $37 a year,1
It would be financed by boosting the social security payroll tax by as much as $37 a year for each of the workers now paying such taxes .,1
"The social security payroll tax is now 6 per cent -- 3 per cent on each worker and employer -- on the first $4,800 of pay per year .",1
"The Kennedy plan alone would boost the base to $5,000 a year and the payroll tax to 6.5 per cent -- 3.25 per cent each .",1
Similar payroll tax boosts would be imposed on those under the railroad retirement system .,1
"The payroll tax would actually rise to 7.5 per cent starting Jan. 1 , 1963 , if the plan is approved , because the levy is already scheduled to go up by 1 per cent on that date to pay for other social security costs .",1
Outlays would increase,1
"Officials estimated the annual tax boost for the medical plan would amount to 1.5 billion dollars and that medical benefits paid out would run 1 billion or more in the first year , 1963 .",1
Both figures would go higher in later years .,1
Other parts of the Kennedy health plan would entail federal grants of 750 million to 1 billion dollars over the next 10 years .,1
"These would be paid for out of general , not payroll , taxes .",1
Nursing home care,1
The aged care plan carries these benefits for persons over 65 who are under the social security and railroad retirement systems : 1,1
"Full payment of hospital bills for stays up to 90 days for each illness , except that the patient would pay $10 a day of the cost for the first nine days .",1
Full payment of nursing home bills for up to 180 days following discharge from a hospital .,1
A patient could receive up to 300 days paid-for nursing home care under a `` unit formula '' allowing more of such care for those who use none or only part of the hospital-care credit .,1
Hospital outpatient clinic diagnostic service for all costs in excess of $20 a patient .,1
Community visiting nurse services at home for up to 240 days an illness .,1
The President noted that Congress last year passed a law providing grants to states to help pay medical bills of the needy aged .,1
Calls proposal modest,1
"He said his plan is designed to `` meet the needs of those millions who have no wish to receive care at the taxpayers' expense , but who are nevertheless staggered by the drain on their savings -- or those of their children -- caused by an extended hospital stay '' .",1
"`` This is a very modest proposal cut to meet absolutely essential needs '' , he said , `` and with sufficient ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals .",1
`` This is not a program of socialized medicine .,1
It is a program of prepayment of health costs with absolute freedom of choice guaranteed .,1
Every person will choose his own doctor and hospital '' .,1
Wouldn't pay doctors,1
The plan does not cover doctor bills .,1
They would still be paid by the patient .,1
"Apart from the aged care plan the President's most ambitious and costly proposals were for federal scholarships , and grants to build or enlarge medical and dental schools .",1
The President said the nation's 92 medical and 47 dental schools cannot now handle the student load needed to meet the rising need for health care .,1
"Moreover , he said , many qualified young people are not going into medicine and dentistry because they can't afford the schooling costs .",1
Contributions to schools,1
